sig	state	n_sig_genes	obs	null_mean	null_sd	z	emp_p
C5_STABLE_UP_CCDEP	AC	599	0.5908411118638102	0.5194448571604731	0.0119923465750722	5.953484937780559	0.0476190476190476
C5_STABLE_UP_CCDEP	OPC	599	0.5893001899373249	0.5170224792955078	0.0116793329748605	6.188513573283051	0.0476190476190476
C5_STABLE_UP_CCDEP	NPC	599	0.5880007176537306	0.5162636246361492	0.0111490850977876	6.434347965629617	0.0476190476190476
C5_STABLE_UP_CCDEP	Cycling	599	0.582779065913964	0.5178793559792981	0.0112405071848709	5.773735016335988	0.0476190476190476
C5_STABLE_DOWN_CCDEP	MES	731	0.5527867104349888	0.5101306165296762	0.0111325215734297	3.83166505664995	0.0476190476190476
C5_STABLE_DOWN_CCDEP	AC	731	0.541918752996937	0.5096927618074932	0.0114255008431023	2.8205320389870456	0.0476190476190476
C5_STABLE_DOWN_CCDEP	OPC	731	0.5310180577250907	0.5091019303940811	0.0115744115098783	1.8934981974941	0.0476190476190476
C5_STABLE_DOWN_CCDEP	NPC	731	0.5308454794660113	0.5078726169321589	0.0116158081053549	1.9777240055525511	0.0476190476190476
C5_STABLE_DOWN_CCDEP	Cycling	731	0.5367109373930671	0.509183703946164	0.0112047944381842	2.4567370333091136	0.0476190476190476
M_shared_antiproliferative	MES	463	0.6590782402805947	0.5194618036847614	0.0167242691759332	8.34813378851531	0.0476190476190476
M_shared_antiproliferative	AC	463	0.6539300519388268	0.5219709726295838	0.0160544272396053	8.219482223801025	0.0476190476190476
M_shared_antiproliferative	OPC	463	0.6637654992996801	0.5184886217376492	0.0164731798120589	8.818994220877908	0.0476190476190476
M_shared_antiproliferative	NPC	463	0.6694208211461933	0.5173216578432881	0.0170227007397725	8.935078259793091	0.0476190476190476
M_shared_antiproliferative	Cycling	463	0.6962525585828541	0.5187893719312202	0.0157995991623189	11.232132209712816	0.0476190476190476
M_shared_antiproliferative_CCDEP	MES	148	0.7650356895070306	0.5199699277480985	0.0245830214712458	9.968903214178903	0.0476190476190476
M_shared_antiproliferative_CCDEP	AC	148	0.7580411168775546	0.5219376806238815	0.026125536197925	9.037266621629191	0.0476190476190476
M_shared_antiproliferative_CCDEP	OPC	148	0.7681090950391984	0.5184072578930599	0.0249323460847744	10.015176120895624	0.0476190476190476
M_shared_antiproliferative_CCDEP	NPC	148	0.7702402452856125	0.5137205778132251	0.0257457720406764	9.963564777436256	0.0476190476190476
M_shared_antiproliferative_CCDEP	Cycling	148	0.7888168281683099	0.5188368776351281	0.0253458794573012	10.6518280806946	0.0476190476190476
M_shared_ER_UPR	MES	143	0.6347020950767157	0.5219394909744989	0.0284064368793929	3.9696145131112455	0.0476190476190476
M_shared_ER_UPR	AC	143	0.621849883901998	0.5232788956460983	0.0294200795816877	3.3504664044911165	0.0476190476190476
M_shared_ER_UPR	OPC	143	0.6190876161392732	0.5196409961957648	0.0274220147313344	3.626524925970274	0.0476190476190476
M_shared_ER_UPR	NPC	143	0.6214768866691506	0.519023522672454	0.0273569238129794	3.745061568219446	0.0476190476190476
M_shared_ER_UPR	Cycling	143	0.6276204881715365	0.5197025978454552	0.027236767642964	3.962213568832172	0.0476190476190476
M_shared_ER_UPR_CCDEP	MES	134	0.6337258657132082	0.5095498309849815	0.0264564732564406	4.693597424138797	0.0476190476190476
M_shared_ER_UPR_CCDEP	AC	134	0.6215391399760082	0.5106216256456233	0.0260702884865069	4.254556461382919	0.0476190476190476
M_shared_ER_UPR_CCDEP	OPC	134	0.617887969572152	0.5104000246196622	0.0276968107082093	3.8808780579429847	0.0476190476190476
M_shared_ER_UPR_CCDEP	NPC	134	0.6201085741301603	0.5081036912091994	0.027179492328319	4.120933590958205	0.0476190476190476
M_shared_ER_UPR_CCDEP	Cycling	134	0.6229725752501047	0.5099708485702676	0.0254692776920198	4.436785685337418	0.0476190476190476
M_HSF1_heat_shock	MES	93	0.6294534313036729	0.5037472304379007	0.0316139958940665	3.9762832033949023	0.0476190476190476
M_HSF1_heat_shock	AC	93	0.6188019221977619	0.5046748491913763	0.0330710068848881	3.450970616154304	0.0476190476190476
