gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	contrast
ENSG00000006451.8	687.095658011315	0.17502186605323422	0.1532507372352588	1.1420621473719506	0.25342818805242817	0.41803954343048233	C4
ENSG00000006453.14	0.9608804636802285	3.317388987463492	4.047866012328096	0.8195402163411838	0.4124782666989216		C4
ENSG00000006459.11	60.39845268822201	0.41774684882277247	0.6796937699275502	0.6146103838310905	0.5388120552367247	0.6969400462675075	C4
ENSG00000006468.15	1303.9286588068837	0.7671669965082667	0.1478832751637243	5.187652191628309	2.1296186768317084e-07	2.1927437374829938e-06	C4
ENSG00000006530.18	366.10474897855806	-0.5656274537299573	0.2346747104993483	-2.410261644837645	0.015941083776975108	0.048797192688445123	C4
ENSG00000006534.17	909.4668675200321	-2.1294219937530543	0.2195509933435055	-9.698985922698144	3.0451000902296615e-22	1.9827669939742365e-20	C4
ENSG00000006555.11	0.08449114031165987	0.640482303473094	4.27069885850329	0.1499713102453582	0.8807872503386465		C4
ENSG00000006576.17	270.9762271210274	0.13886392558000968	0.259032218820019	0.5360874651523378	0.5918981028010761	0.7388619363046963	C4
ENSG00000006606.9	17.591763439782547	1.4806210922683576	1.359498168215013	1.0890938486606248	0.2761125022554548	0.44496166069884563	C4
ENSG00000006607.14	167.07740448211493	-0.5745716459753647	0.3702728471498654	-1.5517520401457108	0.12072156552489297	0.2442220048222457	C4
ENSG00000006611.17	0.0						C4
ENSG00000006625.18	89.80449336446301	-0.08052766041167168	0.6925067162361893	-0.11628430240986505	0.9074272260714457	0.9486578313122114	C4
ENSG00000006634.8	578.9949242893463	1.155541023391479	0.19466510600438644	5.936045997711786	2.9197791567925187e-09	4.030798985295629e-08	C4
ENSG00000006638.13	41.81608341632932	-0.2744055588789286	0.5866835878636257	-0.46772325757084926	0.6399825068764613	0.7746548248734949	C4
ENSG00000006652.15	124.08901009290337	0.8654241288861484	0.6769765569460195	1.2783664663223413	0.20112024209416557	0.35459513852230484	C4
ENSG00000006659.13	0.0						C4
ENSG00000006695.12	199.44333598316126	0.9517336966912302	0.3084440462232334	3.0855959398302746	0.0020314467518501725	0.008488375710575818	C4
ENSG00000006704.11	209.73371614858706	-1.0618952614405675	0.28563119157165195	-3.7177146361278472	0.00020103316760087321	0.0010937809318419633	C4
ENSG00000006712.15	812.397757686727	-1.0966116720768322	0.1800375062493745	-6.091017893559843	1.1219500855794873e-09	1.637415900759972e-08	C4
ENSG00000006715.16	646.3969743911249	0.34624338010166866	0.15829779099959543	2.1872912939293863	0.028721265886588528	0.07980720788769925	C4
