symbol	source
HSPA8	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HUS1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ILF3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
INCENP	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ING3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
IPO7	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
JPT1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KATNA1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF11	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF15	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF18B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF20B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF22	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF23	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF2C	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF4A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
KIF5B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
