contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	GOBP	prerank	pre-replicative complex assembly (GO:0036388)	-0.5522524539479923	-1.76917892126401	0.0	0.07038044844780544	0.839	26/62	14.89%	MCM3;MCM2;PSME1;MCM7;PSMD4;PSMD7;PSMC3;PSMA7;PSMD2;UBB;MCM5;PSMD9;PSMB8;PSMC5;PSMD8;PSMC2;ORC2;PSMC4;ORC6;MCM8;PSMD6;UBC;CDT1;PSMB6;PSMD14;PSMD3
C1	GOBP	prerank	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	-0.4786713576795196	-1.76620405557366	0.0	0.07106336916507812	0.85	53/143	15.46%	HSP90AA1;DCTN1;PSME1;CSNK1E;PSMD4;CEP250;PSMD7;PSMC3;PSMA7;TUBB4B;CEP131;PSMD2;PCNT;CEP164;YWHAE;DYNC1I2;ODF2;BRD4;PSMD9;CEP72;PSMB8;PSMC5;PSMD8;TPX2;SDCCAG8;PSMC2;RCC2;SSNA1;MECP2;PLK1;PSMC4;TUBG1;CDK5RAP2;PPP2R1A;YWHAG;DYNLL1;DCTN3;PSMD6;CNTRL;CCND1;NINL;PRKAR2B;CETN2;PSMB6;CENPF;TUBB;CDK4;RAD51B;PSMD14;PSMD3;NDE1;PINX1;DBF4B
C1	GOBP	prerank	mitotic cytokinetic process (GO:1902410)	-0.6882865748819047	-1.7643013926585875	0.008032128514056224	0.07068353817345505	0.862	11/19	11.07%	CHMP4B;CHMP2A;CHMP3;VPS4A;CHMP4A;CEP55;CNTROB;MITD1;CHMP6;KIF20A;KLHDC8B
C1	GOBP	prerank	cellular zinc ion homeostasis (GO:0006882)	0.6855458242929863	1.7638205394013609	0.004106776180698152	0.16142388193831797	0.862	8/18	4.39%	SLC39A10;SLC30A1;SLC30A5;MT2A;SLC39A8;SLC39A6;MT1E;SLC30A9
C1	GOBP	prerank	regulation of transforming growth factor beta production (GO:0071634)	0.7268899469575203	1.7633963895759694	0.0	0.1515706757080319	0.864	5/15	5.77%	HIF1A;ITGAV;CD46;SMAD4;FN1
C1	GOBP	prerank	glycerophospholipid biosynthetic process (GO:0046474)	0.4600781581934294	1.7633338077655942	0.0	0.14215833788915502	0.864	60/154	16.53%	SLC44A1;CSNK2A1;MTMR4;PTEN;CEPT1;PIK3C2A;PNPLA3;CDS2;AGPAT5;LPIN1;PLA2G12A;OCRL;CPNE3;CSNK2B;MBOAT7;INPP4B;MTMR6;LCLAT1;SYNJ1;PIK3CB;PIKFYVE;DGKH;GPD1L;AGPAT1;PLEKHA3;CHPT1;MTMR1;SACM1L;FAR1;INPP5F;PLEKHA2;MTMR12;PTPN13;PLCG2;SELENOI;PLD1;RAB14;PIK3C2B;LPCAT3;CPNE1;ABHD4;PLA2G4A;TAMM41;PIP5K1A;MTMR2;ETNK1;LPIN2;FGF2;FIG4;SLC44A3;PIK3R3;PIK3CA;PI4K2A;PIK3CD;SLC44A2;CHKB;LPIN3;GNPAT;PGS1;APOA1
C1	GOBP	prerank	regulation of mitotic spindle assembly (GO:1901673)	-0.711451141051051	-1.762418076112204	0.0020161290322580645	0.0701857505233998	0.867	8/18	7.07%	HSPA1B;CHMP4B;CHMP2A;HNRNPU;CHMP3;HSPA1A;TPR;PLK1
C1	GOBP	prerank	regulation of protein polymerization (GO:0032271)	-0.6182138659028262	-1.7604866125540641	0.0019267822736030828	0.07019959932973828	0.874	11/32	14.48%	HSP90AA1;COTL1;CTTN;DBNL;DBN1;MAPT;HAX1;TPPP;TPPP3;PFN2;FCHSD1
C1	GOBP	prerank	mRNA 3'-end processing (GO:0031124)	-0.5160641081705315	-1.752222596596654	0.0	0.07541562795296608	0.901	23/78	8.84%	U2AF2;APP;DHX38;SRSF11;LEO1;PAF1;PABPN1;CASC3;CSTF2T;ALYREF;SRSF4;SLU7;FIP1L1;CPSF1;U2AF1L4;RBM8A;SARNP;SSU72;CPSF7;SRSF6;EIF4A3;CLP1;THOC5
C1	GOBP	prerank	regulation of spindle assembly (GO:0090169)	-0.6487734824555912	-1.75003514612567	0.0019455252918287938	0.07529803738324846	0.902	9/24	7.07%	HSPA1B;NUMA1;CHMP4B;CHMP2A;HNRNPU;CHMP3;HSPA1A;TPR;PLK1
