contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	REACTOME	prerank	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	-0.28998444984184807	-1.2035357942560996	0.03626943005181347	0.3092179144185239	1.0	97/448	12.50%	HSP90AA1;GTF2F1;HNRNPM;LMNB2;CDC37;COL6A2;CHD4;HNRNPA1;ITGA3;EPN1;HNRNPF;STUB1;AAMP;HRAS;HNRNPH1;UBB;CLTA;NELFB;AKT1;CSK;AP2M1;COL6A3;RRAD;COL6A1;APOE;PKN1;POLR2F;LAMC1;YWHAB;LAMB1;NRP2;STAT5A;LAMB3;NRP1;PCSK5;BAIAP2;FURIN;GTF2F2;PTN;HGS;EPS15L1;CXXC1;STAT3;MAP2K2;SRC;FGFBP3;ITPR3;NCF2;ARC;CTNNA1;AXL;SH3GL1;STMN1;WWOX;SH3KBP1;HSPB1;RALB;BCAR1;ATP6V1G1;RAPGEF1;POLR2E;PPP2R1A;FYN;THBS2;CRK;DNM2;PLAT;MKNK1;VAV2;PDGFA;LAMA1;DNM1;MAPK11;SIN3A;MAP2K1;RALA;PSEN2;FGF18;FRS3;PIK3R2;PTPRS;PLCG1;ROCK1;RNASEH2A;VAV3;UBC;NCK2;GRB2;JUND;SHC3;CYBA;MTOR;FGFRL1;PRKACB;DUSP4;NRG2;FOSL1
C1	REACTOME	prerank	Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913	-0.360952252666632	-1.2018465562468184	0.16054158607350097	0.31122037410543824	1.0	15/72	10.42%	POLR1G;BAZ1B;CHD4;GATAD2A;EHMT2;MYBBP1A;CHD3;POLR2F;DDX56;H3-3B;MTA1;POLR2E;KAT2A;H2AJ;TTF1
C1	REACTOME	prerank	Golgi Associated Vesicle Biogenesis R-HSA-432722	0.37021512656839256	1.2016983267634191	0.14977973568281938	0.4623868901635807	1.0	16/53	12.50%	AP1G1;FTL;CLTC;PIK3C2A;AP3S1;TBC1D8B;AP1S2;BLOC1S6;OCRL;DNAJC6;PICALM;SH3D19;YIPF6;VAMP2;AP4E1;TPD52
C1	REACTOME	prerank	CDC42 GTPase Cycle R-HSA-9013148	-0.32488528561125163	-1.2011164568908992	0.10458715596330276	0.31148378863744886	1.0	30/140	11.49%	PRKCSH;ARHGDIA;PREX1;ARAP1;CDC42BPB;PAK4;MYO9B;ITSN1;ARHGAP22;SCRIB;ARFGAP2;ABR;PKN1;KTN1;BAIAP2;DOCK6;MCF2L;MAP3K11;WDR91;YKT6;VAV2;ARHGAP30;DAAM1;SYDE1;ARHGEF25;PIK3R2;STARD8;DNMBP;VAV3;PLEKHG4B
C1	REACTOME	prerank	Mitochondrial Translation R-HSA-5368287	-0.34597935543893743	-1.2009858266545725	0.13653136531365315	0.310760489414315	1.0	44/87	26.04%	GADD45GIP1;TUFM;AURKAIP1;MRPS25;MRPS34;MRPL47;MRPS26;MRPS22;MRPS5;MRPL54;MRPL38;MRPL58;MTIF2;MRPL24;MRPS17;MRPL17;MRPL23;MRPL4;MRPL51;MRPS23;MRPL16;MRPL41;MRPS14;MRPS18B;CHCHD1;MRPS18A;MRPL46;MRPS24;MRPL18;MRPL20;MRPL40;MRPL15;MRPS31;MRPS21;MRPS9;MRPL1;MRPL9;MRPL34;MTIF3;MRPL14;MRPS7;MRPS18C;MRPL13;MRPL55
C1	REACTOME	prerank	Translation Initiation Complex Formation R-HSA-72649	0.3670716310120452	1.1986136726965844	0.1411530815109344	0.467514625245467	1.0	20/55	10.30%	RPS13;RPS12;RPS27A;EIF3E;EIF3M;RPS29;PABPC1;RPS15A;RPS20;RPS2;RPS27;RPS27L;RPS4X;EIF4A2;RPS21;EIF3F;EIF3L;RPS25;RPS24;RPS7
C1	REACTOME	prerank	TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789	0.38935256434879906	1.1957996521452703	0.17886178861788618	0.47230300236238887	1.0	16/43	14.41%	ITGAV;RPS27A;MTMR4;NEDD4L;PPP1CB;SMAD4;XPO1;TGFBR1;TGFB1;SMURF2;UCHL5;FKBP1A;SRFBP1;CBL;SMURF1;USP15
C1	REACTOME	prerank	Signaling By Insulin Receptor R-HSA-74752	0.3548746301080569	1.1957785684454678	0.14317180616740088	0.4698081579810555	1.0	16/65	17.20%	MAPK1;NRAS;ATP6V0C;PIGU;ATP6V1C1;ATP6V1A;PIK3CB;IRS2;ATP6V0E1;SOS1;FGF5;SHC1;ATP6V0A1;PIK3CA;PDPK1;ATP6V1D
C1	REACTOME	prerank	Metabolism Of Amino Acids And Derivatives R-HSA-71291	-0.2947305794490652	-1.1947851113654522	0.06313993174061433	0.32071946223096853	1.0	66/313	10.63%	RPL19;RPL36AL;RPL13A;PSME1;PDHA1;PSMD4;PSMD7;PSMC3;PSMA7;PSMD2;RPL35;RPLP2;SARS1;SLC3A2;RPL3;RPL22;DIDO1;RPS15;PYCR2;ADI1;PHGDH;RPS10;FAU;RPL8;PSMD9;RPS3;ASL;RPL26L1;NNMT;PSMB8;PSMC5;PSMD8;RPL14;ALDH7A1;RPL7A;TXNRD1;RPL11;RPS16;PSMC2;RPSA;SDSL;PYCR1;SECISBP2;SBDS;RPS9;ALDH18A1;GLUD1;PSMC4;ADO;ECHS1;SLC25A15;ENOPH1;MARS1;SEPHS2;RPS5;GCDH;RPL28;NDUFAB1;SEPSECS;PSMD6;RPL36A;RPL23A;DLST;RPL4;SHMT1;HSD17B10
C1	REACTOME	prerank	SUMOylation Of RNA Binding Proteins R-HSA-4570464	0.38205938664724887	1.193860092107545	0.14977973568281938	0.47200261866794585	1.0	18/46	16.87%	POM121;NUP153;NDC1;RANBP2;NUP43;NUP133;NUP35;PHC3;SUMO2;NUP155;NUP160;PHC1;POM121C;NUP214;SCMH1;NUP58;NUP54;NUP107
C1	REACTOME	prerank	mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662	0.3646123734480021	1.1937185922840263	0.14677103718199608	0.4698815868460039	1.0	20/56	10.30%	RPS13;RPS12;RPS27A;EIF3E;EIF3M;RPS29;PABPC1;RPS15A;RPS20;RPS2;RPS27;RPS27L;RPS4X;EIF4A2;RPS21;EIF3F;EIF3L;RPS25;RPS24;RPS7
C1	REACTOME	prerank	MyD88-independent TLR4 Cascade R-HSA-166166	0.33093028783499534	1.1918247387999445	0.13291139240506328	0.4721942096241688	1.0	31/102	12.95%	MAPK1;TAB2;RPS27A;UBE2V1;RPS6KA3;MAPK14;CUL1;MEF2A;UBE2D3;BIRC2;SKP1;TICAM1;TANK;TAB3;PPP2CB;RPS6KA1;DUSP3;MAP2K4;TBK1;UBE2D2;UBE2N;IKBIP;NDUFA2;N4BP1;USP14;BTRC;UBE2D1;MAPKAPK2;IRF7;MAPK7;DUSP7
C1	REACTOME	prerank	Beta-catenin Independent WNT Signaling R-HSA-3858494	-0.32653439371546467	-1.1907197064136084	0.13197026022304834	0.32663279679033796	1.0	35/129	14.89%	PSME1;PLCB3;PSMD4;PSMD7;PSMC3;PSMA7;PSMD2;UBB;CLTA;AP2M1;SCRIB;GNB1;CLTB;PSMD9;PSMB8;PSMC5;PSMD8;GNB5;ITPR3;MOV10;PSMC2;PSMC4;DVL2;PSMD6;DAAM1;TNRC6A;UBC;FZD4;SEM1;GNG11;GNAO1;PSMB6;WNT5B;PSMD14;PSMD3
