signature	sig_type	direction	ensg	symbol	det_SS2	det_10X	det_Couturier
C5_STABLE_DOWN	C5 stable	down	ENSG00000169504.15	CLIC4	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000198951.12	NAGA	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000169499.15	PLEKHA2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000124191.18	TOX2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000260917.1	LOC103344931	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000172890.13	NADSYN1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000236552.2	RPL13AP5	1	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000119812.20	TSLIG3A	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000285793.1	ANAPC1P2	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000164985.15	PSIP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000125249.7	RAP2A	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000132274.17	TRIM22	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000139641.13	ESYT1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000120942.14	UBIAD1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000175390.15	EIF3F	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000135046.14	ANXA1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000127418.15	FGFRL1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000066926.13	FECH	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000100412.17	ACO2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000007202.15	BLTP2	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000072682.20	P4HA2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000101412.13	E2F1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000113282.14	CLINT1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000278771.1	RN7SL3	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000173281.5	PPP1R3B	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000160888.7	IER2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000096070.19	BRPF3	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000100297.16	MCM5	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000128185.10	DGCR6L	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000145012.14	LPP	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000121691.7	CAT	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000120742.11	SERP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000179295.19	PTPN11	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000173581.8	CCDC106	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000130766.5	SESN2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000141295.14	SCRN2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000084112.15	SSH1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000198018.7	ENTPD7	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000131459.13	GFPT2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000215817.9	ZC3H11B	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000117318.9	ID3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000144369.14	FAM171B	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000167004.14	PDIA3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000133104.14	SPART	0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000181649.8	PHLDA2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000163877.11	SNIP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000069998.12	HDHD5	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000167553.17	TUBA1C	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000122778.10	KIAA1549	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000148841.17	ITPRIP	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000170315.14	UBB	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000116761.12	CTH	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000140688.17	RUSF1	0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000167131.17	DNAAF19	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000168056.18	LTBP3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000184232.9	OAF	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000160360.13	GPSM1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000174437.18	ATP2A2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000100239.16	PPP6R2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000275740.1	RBM27-POU4F3	0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000053770.12	AP5M1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000118217.7	ATF6	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000100266.19	PACSIN2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000188215.10	DCUN1D3	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000176438.13	SYNE3	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000147475.17	ERLIN2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000102882.12	MAPK3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000174010.10	KLHL15	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000108582.12	CPD	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000165606.10	DRGX	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000174744.14	BRMS1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000173621.9	LRFN4	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000029153.15	BMAL2	0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000117410.14	ATP6V0B	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000145734.20	BDP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000198563.14	DDX39B	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000124164.16	VAPB	1	1	1
